ids,1cm_1,1cm_2,1cm_3,1cm_4,2cm_1,2cm_2,2cm_3,2cm_4,3cm_1,3cm_2,3cm_3,3cm_4,4cm_1,4cm_2,4cm_3,4cm_4,5cm_1,5cm_2,5cm_3,5cm_4
PaChr9g24626-t1_24626,0.740630027,0.762490874,0.758387315,0.759370923,0.72683795,0.751382632,0.748579324,0.752119212,0.74834525,0.747781478,0.748681953,0.7272806,0.755400005,0.754290753,0.750101967,0.754278857,0.738009351,0.738378643,0.712780906,0.741888271
PaChr3g12799-t1_12799,0.74021212,0.760861685,0.759427234,0.758727812,0.725465641,0.751252486,0.745904703,0.750993662,0.749329352,0.749561338,0.744861527,0.726863068,0.7556643,0.756975764,0.750170094,0.757275058,0.73787673,0.736370289,0.711086656,0.739155422
PaChr2g10835-t1_10835,0.726380264,0.7482707,0.743997596,0.746735981,0.723162754,0.748446187,0.745057604,0.747917769,0.745008415,0.744704448,0.741547537,0.722506891,0.754760634,0.753427779,0.748663289,0.752438362,0.738103462,0.737919647,0.712537439,0.741550545
PaCtg0414g27168-t1_27168,0.721926927,0.742307051,0.740276036,0.743551721,0.713379485,0.738767401,0.736805223,0.737579007,0.743631674,0.742605361,0.739469614,0.72055988,0.754735645,0.754068318,0.749029703,0.754218323,0.7365503,0.738633929,0.711568838,0.739634289
PaChr3g13008-t1_13008,0.725249561,0.748721283,0.744550814,0.742322532,0.719037161,0.741823171,0.74316638,0.74464713,0.750775874,0.745854572,0.745965902,0.726465097,0.752118034,0.753837038,0.744137246,0.750531587,0.739207556,0.739672466,0.714408608,0.74405191
PaChr10g04366-t1_4366,0.734761875,0.754484803,0.756906272,0.75174702,0.724579962,0.748327021,0.747683747,0.749523025,0.753916879,0.756643189,0.752680707,0.733702864,0.754240353,0.760111111,0.754470804,0.753889898,0.739777731,0.741954502,0.71605309,0.745915939
PaChr9g24583-t1_24583,0.7348167,0.753929315,0.750718783,0.758960215,0.731477537,0.753324741,0.751401044,0.761274627,0.75344617,0.749484111,0.745316621,0.728406391,0.762086355,0.758259914,0.751922892,0.759707658,0.742634969,0.737657609,0.714206737,0.741971182
PaChr8g23062-t1_23062,1.097768058,1.09201253,1.088182611,1.136185282,0.885792897,0.899061254,0.913281395,0.896251592,0.930060905,0.908232198,0.910095211,0.903166065,0.910806915,0.900749674,0.892700187,0.880361386,0.883520375,0.879653633,0.871914836,0.909379551
PaCtg0317g26652-t1_26652,0.726455409,0.747783073,0.743022918,0.748485241,0.717521709,0.738737435,0.742423894,0.744242959,0.746399081,0.743788821,0.740475156,0.722278324,0.754260791,0.753057932,0.747884453,0.752605437,0.737317096,0.737851712,0.711842552,0.740422302
PaCtg1613g34407-t1_34407,0.754477173,0.775076719,0.772010439,0.773303745,0.736405566,0.760464291,0.758157193,0.760956195,0.74985607,0.748629488,0.744416046,0.726558916,0.761025074,0.762863538,0.754252071,0.759740582,0.737854558,0.738560027,0.712717665,0.741682538
PaChr7g21207-t1_21207,0.750012576,0.768365838,0.770470554,0.768578202,0.735814029,0.764945989,0.753566109,0.759208739,0.765813029,0.76445935,0.762490905,0.744010673,0.772142518,0.778396218,0.762378752,0.777884021,0.764322214,0.774528392,0.74789251,0.779793982
PaChr8g22168-t1_22168,0.719885735,0.74169915,0.738105,0.740374755,0.712459307,0.738409012,0.734199612,0.73805451,0.744126587,0.740857134,0.738992246,0.719949504,0.753241473,0.751248592,0.745311408,0.750175407,0.73896956,0.736364147,0.711445455,0.73907317
PaChr5g18209-t1_18209,0.803696484,0.821485828,0.822610756,0.818814527,0.81700744,0.836637089,0.839565594,0.834967069,0.784588683,0.788271779,0.795526434,0.770577121,0.796141921,0.809115352,0.801810238,0.80439399,0.758338211,0.772391224,0.740181187,0.765844562
