ids,log2FC_T6_T0,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
PaChr2g09653-t1_9653,0.0004196452828203714,1.5855549318506832,-1.7159091412926166,1.2058032376600392,0.29308352386527403
PaCtg0769g29761-t1_29761,0.00031150459236825486,1.6118415818872232,-1.6896224912560767,1.22419136112764,0.311471647332875
PaChr2g10300-t1_10300,0.01671374143816989,1.4463304382476356,-1.8551336348956642,1.1223132160358085,0.20959350224104334
PaChr10g05077-t1_5077,-9.058156726898e-05,0.3350296469352998,-2.966434426208,0.28859673713755135,-0.0
PaCtg2128g36447-t1_36447,-0.00011822583100697984,0.4922272787268825,-2.8092367944164174,0.4255335007444992,-0.0
PaChr1g03549-t1_3549,0.0036615241493687836,1.1044661343293505,-2.1969979388139493,0.9085122459560246,-0.0
PaChr12g07342-t1_7342,-0.0002551972957452168,1.3667091637157174,-1.9347549094275824,1.0734192745788438,0.1606995607840788
PaChr1g02832-t1_2832,-0.00013355684018661059,0.46023685944470927,-2.8412272136985903,0.3990723683041219,-0.0
PaChr3g13796-t1_13796,-0.00020115348686925664,0.5673589684383191,-2.7341051047049807,0.4904279579011051,-0.0
PaChr10g04597-t1_4597,-0.0002672657842238246,1.2902237178708216,-2.0112403552724785,1.0278028772687764,0.11508316347401137
PaChr7g20330-t1_20330,-0.00010837658632772325,0.957480356909875,-2.3439837162334247,0.803073954794935,-0.0
PaChr5g18154-t1_18154,-0.000108678870823695,0.278153033412075,-3.023311039731225,0.23818973346705527,-0.0
PaCtg0266g26298-t1_26298,1.219631294817281e-05,0.07217665587710416,-3.2292874172661956,0.06096985212832238,-0.0
PaChr11g05994-t1_5994,-0.00018381408697254437,0.8712669572010832,-2.4301971159422164,0.7406510877010928,-0.0
PaChr7g20121-t1_20121,-0.00020686245206123934,0.9430373952849235,-2.3584266778583762,0.7938616665246803,-0.0
PaCtg3729g40111-t1_40111,-0.00033867551128954855,1.1685752774492744,-2.1328887956940257,0.9538268682508569,0.04110715445609188
PaChr5g16395-t1_16395,-0.00041573908334037305,0.9827991722174139,-2.318664900925886,0.8215287776527453,-0.0
PaChr8g21803-t1_21803,-0.00039226809161510535,0.8278119055579786,-2.473652167585321,0.7093327994182604,-0.0
PaCtg1078g31485-t1_31485,-0.00046533662313343266,1.0573213786724418,-2.244142694470858,0.8725261808421698,-0.0
PaChr7g20976-t1_20976,-0.00046922219963162833,1.2328243177876108,-2.068639755355689,0.9950688040357284,0.08234909024096332
PaChr3g13959-t1_13959,-0.00037255453381996434,1.1647576113924654,-2.1367064617508347,0.9518187755637992,0.03909906176903418
PaCtg0124g25655-t1_25655,-0.00020981212528118986,0.33517812128906754,-2.9662859518542324,0.28859673713755135,-0.0
PaChr3g12707-t1_12707,-0.0003772550648923953,1.3763786962351237,-1.9250853769081762,1.080524068452104,0.16780435465733906
PaChr4g15204-t1_15204,-0.00023371268312480725,0.8442048157832099,-2.4572592573600898,0.7205657145045918,-0.0
PaCtg0242g26198-t1_26198,0.00017995962213928268,0.5999661178163948,-2.701497955326905,0.5159859888870012,-0.0
PaCtg1960g35781-t1_35781,-1.2009024223772805e-05,0.01788672925127753,-3.283577343892022,0.015929954808465287,-0.0
PaChr11g06238-t1_6238,-0.00022799126521326707,0.45021903040741035,-2.8512450427358895,0.39104786224704147,-0.0
PaChr3g12471-t1_12471,0.002594111050483431,1.6051765881581475,-1.6962874849851524,1.2206925623352298,0.30797284854046464
PaChr5g17145-t1_17145,0.002443400088959981,5.072686124465292,1.7712220513219925,2.509453240887498,1.5967335270927332
PaCtg1160g32022-t1_32022,0.05758981233514478,0.6660477524018749,-2.635416320741425,0.5724872096446266,-0.0
PaChr10g04768-t1_4768,0.0008982586582392736,0.8062011289805018,-2.495262944162798,0.6922577766736651,-0.0
PaChr3g12552-t1_12552,0.0008982586582392736,0.8062011289805018,-2.495262944162798,0.6922577766736651,-0.0
PaChr5g17316-t1_17316,-0.00017693530037240612,0.38411535140080516,-2.9173487217424947,0.33184963564861825,-0.0
PaChr3g13082-t1_13082,-0.0006158063370487841,1.2351895354042877,-2.066274537739012,0.9968092056753032,0.08408949188053814
PaChr6g19653-t1_19653,0.0016748956021262777,0.8029174596037023,-2.4985466135395975,0.6895377601753406,-0.0
PaCtg0460g27401-t1_27401,0.0003847805818484884,0.562455477563148,-2.739008595580152,0.4868173958817414,-0.0
PaChr7g20881-t1_20881,0.000671296209955979,0.6668228931366181,-2.634641180006682,0.5724872096446266,-0.0
PaChr1g00075-t1_75,-0.0007491840560775214,4.01551330689769,0.7140492337543898,2.3199463979397237,1.4072266841449586
PaChr1g02622-t1_2622,0.00037591325668665686,0.3685533323836272,-2.932910740759673,0.3179969589411833,-0.0
PaChr6g19404-t1_19404,0.008715527615930925,0.8943507328564549,-2.4071133402868448,0.7584277364355282,-0.0
PaChr5g15887-t1_15887,0.013347165943683698,1.070663910291293,-2.230800162852007,0.8824745296123434,-0.0
PaChr8g22345-t1_22345,0.0003151816395718025,0.6396911839004338,-2.661772889242866,0.5504147151610916,-0.0
PaCtg0940g30727-t1_30727,-0.0002645127046591414,0.36110969475397886,-2.940354378389321,0.3115270761632067,-0.0
PaChr2g09933-t1_9933,-0.0003997453116893337,0.48522324742189527,-2.8162408257214047,0.4198792026616339,-0.0
PaChr1g02796-t1_2796,-0.000743704657312223,1.2874668992665814,-2.0139971738767186,1.0262094536979927,0.11348973990322755
PaChr5g16021-t1_16021,-0.0005089193222219847,0.6406545976798598,-2.66080947546344,0.5511116088450693,-0.0
PaChr1g00203-t1_203,-0.0005089193222219847,0.6406545976798598,-2.66080947546344,0.5511116088450693,-0.0
PaChr1g00513-t1_513,-0.000649246827160536,1.4996425265870033,-1.8018215465562966,1.1538662037572092,0.24114648996244417
PaChr5g16891-t1_16891,-2.124410414879146e-05,0.022949591433910857,-3.2785144817093888,0.020338594700317715,-0.0
PaChr10g04783-t1_4783,-0.000335413130377458,0.8660900032599562,-2.4353740698833435,0.737455978853385,-0.0
PaChr1g00788-t1_788,-0.0005851348200787707,2.8401594282052076,-0.46130464493809215,1.8219965837654575,0.9092768699706923
PaChr3g12369-t1_12369,-0.0011211083033505565,2.9149353451551647,-0.38652872798813503,1.8539310951579242,0.9412113813631592
PaChr4g14640-t1_14640,0.006122150188477229,0.8341662563602188,-2.467297816783081,0.7139739547763805,-0.0
PaCtg1007g31151-t1_31151,-0.0006524582120960895,1.0338921949682904,-2.2675718781750094,0.8572582712388498,-0.0
PaChr5g17315-t1_17315,-0.00042390571977786104,0.6149912970477879,-2.686472776095512,0.5299570547807392,-0.0
PaChr1g00987-t1_987,-0.000803845782474043,1.6882066049993716,-1.6132574681439282,1.2681997354995178,0.3554800217047526
PaChr1g02461-t1_2461,-0.0006776966783686335,2.0835721898098996,-1.2178918833334005,1.466101909233152,0.553382195438387
PaChr6g19490-t1_19490,-0.0012470541554017995,2.1630169785917284,-1.1384470945515712,1.5069751747975206,0.5942554610027555
PaCtg0119g25590-t1_25590,-0.000803284715722545,2.4366020455158024,-0.8648620276274973,1.6378766532571374,0.7251569394623723
PaCtg3343g39382-t1_39382,-0.0011012361330323265,1.6592029656463425,-1.6422611074969573,1.2531794466479658,0.34045973285320075
PaChr6g19492-t1_19492,0.007148712424232074,1.3348144602256407,-1.9666496129176592,1.0546294866775316,0.14190977288276646
PaChr3g13554-t1_13554,0.00031177346132147413,0.19303300895864833,-3.1084310641846513,0.16553044737760728,-0.0
PaChr3g13620-t1_13620,-0.0006923084508304587,1.9822421926462757,-1.3192218804970242,1.4289661465091763,0.5162464327144112
PaChr9g23909-t1_23909,-0.00021258595164468547,0.30378742821479243,-2.9976766449285073,0.26096063779556905,-0.0
PaCtg3936g40424-t1_40424,-0.0012114694759216454,1.2571515382446141,-2.044312534898686,1.010300519658202,0.097580805863437
PaChr2g08157-t1_8157,-0.0009846980899049149,0.9382180901463808,-2.363245982996919,0.7899876040933953,-0.0
PaChr3g13470-t1_13470,-0.0008030524492283277,2.2565818072607224,-1.0448822658825776,1.560422780258532,0.6477030664637669
PaChr6g19774-t1_19774,-0.0004326115693023024,0.45801674136232096,-2.843447331780979,0.39735143933635236,-0.0
PaChr5g17170-t1_17170,-0.0008956119939472845,1.3658363028546414,-1.9356277702886584,1.0734084897556135,0.16068877596084838
PaChr1g01476-t1_1476,-0.0004265115346780062,0.47823062819800033,-2.8232334449452994,0.41431029319757495,-0.0
PaChr2g09673-t1_9673,-1.0976261053001955e-05,0.020005717872711454,-3.2814583552705883,0.017612904756821136,-0.0
PaCtg3522g39738-t1_39738,-0.000554094362913463,1.0462889557487938,-2.255175117394506,0.8666251116687294,-0.0
PaCtg1293g32798-t1_32798,-0.0020517555540733984,2.8616825974627793,-0.43978147568052056,1.8250363473290159,0.9123166335342509
PaCtg0482g27590-t1_27590,5.185608650178992e-05,0.05506044744823354,-3.2464036256950664,0.046958929016379256,-0.0
PaChr5g15650-t1_15650,-0.0006439938650171083,1.2410415237481194,-2.0604225493951804,1.0006527742346114,0.08793306043984624
PaChr5g17970-t1_17970,-0.0012707597482053787,2.082603161682021,-1.218860911461279,1.466101909233152,0.553382195438387
PaChr3g13507-t1_13507,-0.0014100056074842595,1.2648124600935142,-2.0366516130497856,1.014089399449519,0.1013696856547539
PaChr9g24745-t1_24745,-0.0010188514590780992,2.4859558854923844,-0.8155081876509154,1.664325333339796,0.7516056195450309
PaChr5g17506-t1_17506,-0.0005398680376218406,0.6384958592352741,-2.6629682139080257,0.5498512295640217,-0.0
PaCtg0242g26194-t1_26194,-0.0007415502301494676,0.695243319526608,-2.6062207536166917,0.5968121333980189,-0.0
PaCtg0497g27686-t1_27686,0.023316715377391686,1.057050607434714,-2.244413465708586,0.8725261808421698,-0.0
PaChr2g10735-t1_10735,0.008140698918406027,1.752533212596903,-1.5489308605463967,1.31080770565075,0.39808799185598504
PaChr1g00189-t1_189,0.00033397000062542213,0.18989908489622348,-3.111564988247076,0.16305463084416175,-0.0
PaChr4g15266-t1_15266,0.0028901933230813517,1.1322913009062923,-2.1691727722370073,0.9281920565012496,0.015472342706484472
PaChr9g24293-t1_24293,-0.0013411040811577006,2.6004779542923484,-0.7009861188509513,1.7105397230772914,0.7978200092825265
PaChr10g04201-t1_4201,-0.0015037516111150848,3.3468263927498123,0.04536231960651258,2.040839926455456,1.1281202126606908
PaChr8g23110-t1_23110,-0.002641844717567965,1.7831328714971864,-1.5183312016461135,1.3298579153452852,0.4171382015505201
PaCtg2081g36244-t1_36244,-0.0008326194643551298,2.192075686484855,-1.1093883866584446,1.5244354773811675,0.6117157635864025
PaChr3g11454-t1_11454,-0.0016069953058647523,1.2834020010323,-2.018062072111,1.0240899586808427,0.11137024488607754
PaChr4g15571-t1_15571,-0.0007025290736496905,2.1389852792289266,-1.162478793914373,1.499333891622888,0.586614177828123
PaChr10g03832-t1_3832,-0.0020621840180351284,2.814213311153521,-0.48725076198977907,1.8116023144199276,0.8988826006251623
PaCtg0266g26310-t1_26310,-0.0015832929668053541,1.658668787432201,-1.6427952857110988,1.2531794466479658,0.34045973285320075
PaChr4g15093-t1_15093,-0.001030802285378914,0.9333712778843899,-2.36809279525891,0.7872432422061518,-0.0
PaChr3g12472-t1_12472,0.011023117305367295,1.7708073413724923,-1.5306567317708075,1.319989503412259,0.40726978961749394
PaChr7g21744-t1_21744,0.012160791859389,1.1757451329422095,-2.1257189402010903,0.958135558211616,0.04541584441685088
PaChr7g21596-t1_21596,-0.0010380064411436333,2.7010299980334684,-0.6004340751098316,1.7612937609077612,0.8485740471129962
PaChr3g13711-t1_13711,-0.00030565722963776044,0.2257136152831334,-3.0757504578601664,0.1939959152706006,-0.0
PaCtg5041g41920-t1_41920,0.0278038188367931,1.1207898297667376,-2.1806742433765622,0.9183703548376622,0.005650641042897082
PaCtg1124g31771-t1_31771,-0.0008770248848002309,2.3336726477422043,-0.9677914254010958,1.5897157765045622,0.6769960627097971
PaChr8g21982-t1_21982,-0.00020774557699614475,0.07788906912301309,-3.2235750040202866,0.06534460164143983,-0.0
PaCtg0662g28948-t1_28948,-0.00142158214485335,3.070391545354178,-0.23107252778912193,1.9101921171683458,0.9974724033735808
PaChr2g10299-t1_10299,0.003952535116118383,2.4938042186397213,-0.8076598545035784,1.664325333339796,0.7516056195450309
PaChr2g08930-t1_8930,-0.002227398897565331,2.0825326676289357,-1.2189314055143643,1.466101909233152,0.553382195438387
PaChr5g17161-t1_17161,0.0022830829024897297,1.4499706757494066,-1.8514933973938932,1.12448296819451,0.21176325439974505
PaCtg0266g26309-t1_26309,-0.0020544869377111074,2.9148459200186245,-0.3866181531246754,1.8539310951579242,0.9412113813631592
PaCtg2225g36737-t1_36737,-0.0014426237900441923,1.844468998346402,-1.456995074796898,1.3684310429709252,0.45571132917616014
PaChr8g21925-t1_21925,-0.0003027976325531428,0.1372569860865443,-3.1642070870567554,0.11728080088332572,-0.0
PaChr8g23534-t1_23534,-0.001265020072025833,1.5527016434381666,-1.7487624297051332,1.1847248581435723,0.2720051443488072
PaChr10g04153-t1_4153,0.0007306790301808045,1.3654759230629776,-1.9359881500803222,1.0734084897556135,0.16068877596084838
