Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv1,cv2,means1,means2
0.871936172,1.447022593,0.945625401,1.666591878,1.549426305,1.461301702,20.95574416,5.393372484,1.196323997,1.559106628
1.20379068,1.209580277,1.214835312,1.597961546,1.515722297,1.584757651,0.216754721,2.302525087,1.212207795,1.566147165
2.548955444,1.525563154,1.252113928,3.712710008,3.500909034,3.344362602,9.844529009,4.288891028,1.388838541,3.519327215
1.358000766,1.285917749,1.329609848,1.063348505,1.283741711,1.418785155,1.67048891,11.67013592,1.307763799,1.25529179
1.358000766,1.30200364,1.33724922,0.998993439,1.33868702,1.305462759,1.335437779,12.59117492,1.31962643,1.214381072
1.468579404,1.342566778,1.414515486,2.867637396,2.372794475,2.522455194,2.609595998,8.007662179,1.378541132,2.587629022
1.405080129,1.4598171,1.439970377,1.224357748,1.380563845,0.776515319,0.684419914,22.71250387,1.449893738,1.127145637
1.488150958,1.402326301,1.452245513,1.436694116,1.233213539,1.530175511,1.74874604,8.855224164,1.427285907,1.400027722
1.521658279,1.371010271,1.456273893,1.146857106,1.254003563,1.558155895,3.015742931,13.20133384,1.413642082,1.319672188
1.452382737,1.448017925,1.456273893,1.377511529,1.087515561,1.208680762,0.284267857,9.711352626,1.452145909,1.224569284
1.409561601,1.552366228,1.493073735,1.472886902,1.531292844,1.409853513,1.94692701,3.370345831,1.522719982,1.47134442
1.573222927,1.504539959,1.544716237,1.397957629,1.693247014,1.489152794,1.317576333,8.085840671,1.524628098,1.526785812
1.499556148,1.574769596,1.544716237,1.597961546,1.586828083,1.763269646,0.963407445,4.891572466,1.559742916,1.649353091
1.525254549,1.562082006,1.549782907,1.55727147,1.591679923,1.305462759,0.395232418,8.593018725,1.555932456,1.484804717
1.601949138,1.568463118,1.59023748,1.513418554,1.608678407,1.444704021,0.689345561,4.416703784,1.579350299,1.522266994
1.556578456,1.622740261,1.596436573,1.455086324,1.222504651,1.59758479,0.817093599,10.84803925,1.609588417,1.425058588
1.563298051,1.653429658,1.616105608,1.246077537,1.614012766,0.984901974,1.141570474,20.13500817,1.634767633,1.281664092
1.724055573,1.500953931,1.626407794,1.405926696,1.343022976,1.551295838,4.011491927,6.084799734,1.563680863,1.43341517
1.721560123,1.539132301,1.640794154,1.455086324,1.3964537,1.221839648,3.196987546,7.296318857,1.589963228,1.357793224
1.701182798,1.568463118,1.642212083,1.429162092,1.411895731,1.234663504,2.296992383,6.47008552,1.6053376,1.358573776
1.549773883,1.73641248,1.657570652,1.529476009,1.28854112,1.695955855,2.32298821,11.11546014,1.696991566,1.504657661
1.658029681,1.677322699,1.672509316,1.548157892,1.388566459,1.976371297,0.143690282,15.15434154,1.674916007,1.637698549
1.669138564,1.712550322,1.696109524,1.444124647,1.518871117,1.751399898,0.482324408,8.326063251,1.704329923,1.571465221
1.733927111,1.695216372,1.718740221,1.803404834,1.637420999,1.66320767,0.689049437,4.286688886,1.706978297,1.701344501
1.724055573,1.705187642,1.718740221,1.803404834,1.912823756,2.047975887,0.395819632,5.206083863,1.711963932,1.921401492
1.614243917,1.808649716,1.726082582,1.996797818,1.674434575,1.81486454,2.335880835,7.216459229,1.767366149,1.828698977
1.721560123,1.75929769,1.74520019,1.583762267,1.627135127,2.010973993,0.40226875,11.02965283,1.75224894,1.740623796
1.693344155,1.872719962,1.795702193,2.639488703,2.341241722,2.708330269,2.09947944,6.216085678,1.834211078,2.563020232
1.748414671,1.878204331,1.821913732,2.547445518,2.463321649,2.659448086,1.521319,3.14218569,1.850059031,2.556738418
1.75786877,1.885436519,1.830051018,5.053683445,3.262134865,4.319165634,1.490665758,17.4595334,1.857743769,4.211661314
1.8344526,1.826848484,1.834076257,2.032823909,2.342856052,2.333977445,0.197430256,6.443105696,1.83046237,2.236552469
1.8344526,1.826848484,1.834076257,2.032823909,2.342856052,2.333977445,0.197430256,6.443105696,1.83046237,2.236552469
1.887201876,1.783439458,1.840061069,1.841515326,1.77313503,2.093531974,1.562621853,7.241025355,1.811750264,1.902727443
1.926869757,1.763764813,1.852815897,1.68132949,1.765004803,1.544347395,2.462300488,5.467490866,1.808290355,1.663560563
1.787539621,1.921988219,1.863389679,2.203587864,2.268639619,2.776419116,1.548023529,10.59852419,1.892688949,2.416215533
1.972114943,1.73641248,1.867186612,2.143463091,1.976473813,2.29513405,3.628986691,6.086102172,1.801799546,2.138356984
1.896459635,1.857833908,1.880280694,2.286093845,1.936327707,2.434043777,0.60048414,9.405240339,1.869057301,2.218821776
1.848602286,1.90313017,1.880280694,1.589484635,1.645016336,1.721842548,0.603938548,3.284729924,1.891705432,1.652114506
1.890922856,1.870880161,1.883967491,1.976484592,1.99907716,2.435571471,0.348544921,9.88710936,1.877423826,2.137044408
1.840559793,1.921988219,1.886717109,2.794808874,2.94137782,3.633350847,0.92606561,11.70841193,1.904352664,3.12317918
1.940646161,1.904870116,1.925603324,3.741693823,3.236435544,3.229543894,0.541270115,7.048283553,1.91523672,3.402557754
1.9127581,1.948370248,1.934087136,2.249991605,2.022216058,2.263814386,0.367888444,5.084574891,1.941228692,2.178674017
1.963996807,1.899634506,1.934928718,1.966068711,2.085649512,1.837973018,0.920423265,5.151378079,1.917281612,1.963230413
1.980121968,1.904870116,1.945759507,1.983817083,2.053473803,1.67434061,1.061888428,8.654929189,1.925314812,1.903877165
1.98329438,1.915201471,1.952325507,1.743371287,1.56699573,2.055106583,0.959890799,11.28371977,1.933763489,1.7884912
1.932074288,2.011002354,1.976308551,1.730144475,1.825271073,2.237140871,0.870105286,11.39564809,1.993655453,1.93085214
1.932074288,2.011002354,1.976308551,1.730144475,1.825271073,2.237140871,0.870105286,11.39564809,1.993655453,1.93085214
1.952438422,2.000769803,1.980211577,1.917665496,1.90801153,1.823376615,0.516411021,2.249394695,1.99049069,1.883017881
2.031854809,1.93861641,1.988707612,2.164511017,2.174357598,2.027540944,1.27545377,3.157659947,1.963662011,2.122136519
