ids,log2FC_T6_T0,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
PaChr2g09653-t1_9653,1.434754824426442,1.597050062593162,-1.7044140105501377,0.9686068965787584,0.05588718278399329
PaCtg0769g29761-t1_29761,0.7616206733612675,3.841149058883019,0.5396849857397191,2.130749592766218,1.2180298789714532
PaChr2g10300-t1_10300,1.9909529680100182,4.031238913752905,0.729774840609606,2.237745304950595,1.3250255911558297
PaChr10g05077-t1_5077,-0.17271313451091672,0.26103412538222864,-3.040429947761071,0.14539541185189098,-0.0
PaCtg2128g36447-t1_36447,-0.3061441209797902,0.46312080284359214,-2.8383432702997076,0.2725829719667126,-0.0
PaChr1g03549-t1_3549,1.355642142898242,2.8528782201162537,-0.448585853027046,1.7126808890226468,0.7999611752278817
PaChr12g07342-t1_7342,-0.8687714744089476,0.739877678832071,-2.5615863943112287,0.4431647612797722,-0.0
PaChr1g02832-t1_2832,-0.09494500049251223,0.20236451508086906,-3.0990995580624308,0.113088046341527,-0.0
PaChr3g13796-t1_13796,-0.2746209467423318,0.4258297340989606,-2.8756343390443395,0.24592550514316167,-0.0
PaChr10g04597-t1_4597,-0.5219285879619215,1.259364398739698,-2.0420996744036017,0.759989583478131,-0.0
PaChr7g20330-t1_20330,-0.02640368778007935,0.10093074409375433,-3.2005333290495455,0.055221457593498696,-0.0
PaChr5g18154-t1_18154,-0.026590729046722276,0.061662563242512895,-3.239801509900787,0.032419827907133075,-0.0
PaCtg0266g26298-t1_26298,0.168528896366192,0.8252761394207142,-2.4761879337225854,0.4997032026792071,-0.0
PaChr11g05994-t1_5994,-0.1386344617141472,0.41037834257739175,-2.891085730565908,0.2366667852670652,-0.0
PaChr7g20121-t1_20121,-0.10797481009085697,0.6129140565455963,-2.6885500165977034,0.36510750367591144,-0.0
PaCtg3729g40111-t1_40111,-0.2941193902701101,0.683198202604127,-2.618265870539173,0.4071105164962157,-0.0
PaChr5g16395-t1_16395,-0.6610070653848137,0.8244433106154069,-2.477020762527893,0.49932921647538037,-0.0
PaChr8g21803-t1_21803,-0.313509825467119,0.9455391165751139,-2.355924956568186,0.5686143633557154,-0.0
PaCtg1078g31485-t1_31485,-0.49611370241475106,1.4358044734709445,-1.8656595996723553,0.8660815373531815,-0.0
PaChr7g20976-t1_20976,-0.49924413727227773,1.6908281639940546,-1.6106359091492453,1.0289399952614353,0.11622028146667028
PaChr3g13959-t1_13959,-0.23212316592899365,0.4847940625588532,-2.816670010584447,0.2864492429612672,-0.0
PaCtg0124g25655-t1_25655,-0.051341750875363884,0.07014737841471963,-3.23131669472858,0.037027219222484475,-0.0
PaChr3g12707-t1_12707,-0.1835097535632942,0.5833172225175546,-2.7181468506257453,0.34929599215063545,-0.0
PaChr4g15204-t1_15204,-0.022388107574145968,0.11191433144634784,-3.189549741696952,0.06135795800390398,-0.0
PaCtg0242g26198-t1_26198,0.2513150327851235,1.32972774275354,-1.9717363303897597,0.8026870281630113,-0.0
PaCtg1960g35781-t1_35781,0.14200407565843542,0.43914987600614264,-2.8623141971371573,0.25643059930800655,-0.0
PaChr11g06238-t1_6238,-0.0054496608180764905,0.009915432335892992,-3.291548640807407,0.005555009341849711,-0.0
PaChr3g12471-t1_12471,0.7392407046778672,2.4814512629895824,-0.8200128101537174,1.4896173572721814,0.5768976434774162
PaChr5g17145-t1_17145,0.6984587773473535,3.3995995544734057,0.09813548133010568,1.9213973367376824,1.0086776229429173
PaCtg1160g32022-t1_32022,1.578618861785858,1.9918027932187405,-1.3096612799245593,1.1994513702730059,0.2867316564782408
PaChr10g04768-t1_4768,0.41823861162778625,1.7754229307738756,-1.5260411423694242,1.0749317533173242,0.16221203952255897
PaChr3g12552-t1_12552,0.41823861162778625,1.7754229307738756,-1.5260411423694242,1.0749317533173242,0.16221203952255897
PaChr5g17316-t1_17316,0.07504511208410035,0.243941315675035,-3.057522757468265,0.13615827207301667,-0.0
PaChr3g13082-t1_13082,-0.2439263307188405,1.089529703024186,-2.211934370119114,0.6590544436414613,-0.0
PaChr6g19653-t1_19653,0.5391955592899249,1.4052227952375314,-1.8962412779057685,0.8488335136762889,-0.0
PaCtg0460g27401-t1_27401,0.2957177810811922,1.1245927739732346,-2.1768712991700654,0.6798575912128173,-0.0
PaChr7g20881-t1_20881,0.3466775990346238,1.070594378143725,-2.230869694999575,0.6493720808959055,-0.0
PaChr1g00075-t1_75,-0.29509778476209775,2.2504751003805756,-1.0509889727627244,1.3656556451002646,0.4529359313054995
PaChr1g02622-t1_2622,0.26608674674987276,0.7777863868751776,-2.523677686268122,0.4688758315640134,-0.0
PaChr6g19404-t1_19404,0.9876877522355347,2.058555432664158,-1.242908640479142,1.2399649431296118,0.32724522933484673
PaChr5g15887-t1_15887,1.0939597261641067,3.020115691097492,-0.28134838204580803,1.7663116417883036,0.8535919279935384
PaChr8g22345-t1_22345,0.24905355763082945,1.4354963606961986,-1.8659677124471012,0.8660815373531815,-0.0
PaCtg0940g30727-t1_30727,0.03134649938860782,0.14415203499973073,-3.1573120381435693,0.08071512235678747,-0.0
PaChr2g09933-t1_9933,-0.047409206940475714,0.13116439876182998,-3.1702996743814698,0.07372991464855187,-0.0
PaChr1g02796-t1_2796,-0.19409195338264373,0.4920297281168123,-2.8094343450264874,0.2905913850813751,-0.0
PaChr5g16021-t1_16021,-0.0496216354692139,0.10295194650556735,-3.1985121266377323,0.056215271587130695,-0.0
PaChr1g00203-t1_203,-0.0496216354692139,0.10295194650556735,-3.1985121266377323,0.056215271587130695,-0.0
PaChr1g00513-t1_513,-0.10806265309247796,1.4314916443345582,-1.8699724288087416,0.8634135286966269,-0.0
PaChr5g16891-t1_16891,0.1361239507266275,1.1600640240633147,-2.141400049079985,0.6980779982942134,-0.0
PaChr10g04783-t1_4783,0.050319259136027944,0.28686742031427154,-3.0145966528290282,0.16236232775787987,-0.0
PaChr1g00788-t1_788,-0.04943916874947656,0.4585736216002033,-2.8428904515430964,0.269714549991478,-0.0
PaChr3g12369-t1_12369,-0.36865083030913626,3.345644110227216,0.04418003708391594,1.9213973367376824,1.0086776229429173
PaChr4g14640-t1_14640,0.7467054351831208,1.8943234098538786,-1.4071406632894212,1.144309334683454,0.2315896208886889
PaCtg1007g31151-t1_31151,-0.08057389983037588,0.41599331887240654,-2.8854707542708935,0.24000385206099062,-0.0
PaChr5g17315-t1_17315,0.024124992303677716,0.06893964408815847,-3.2325244290551414,0.036521280602481616,-0.0
PaChr1g00987-t1_987,-0.10983304986699646,1.0449804352365308,-2.256483637906769,0.6283117260422119,-0.0
PaChr1g02461-t1_2461,-0.04269742678710382,0.22837601756012055,-3.073088055583179,0.1263928592791766,-0.0
PaChr6g19490-t1_19490,-0.307420596494326,2.342402924682738,-0.9590611484605619,1.4229558941143063,0.5102361803195413
PaCtg0119g25590-t1_25590,-0.07691649690771962,1.3852664848097056,-1.9161975883335942,0.8381507473774246,-0.0
PaCtg3343g39382-t1_39382,-0.22286984492997358,1.3550081527368485,-1.9464559204064513,0.8169720731564858,-0.0
PaChr6g19492-t1_19492,0.7254201041277789,2.3837130494694323,-0.9177510236738674,1.4420844586660206,0.5293647448712555
PaChr3g13554-t1_13554,0.19223899262818214,0.6106582362984869,-2.690805836844813,0.3645724945301872,-0.0
PaChr3g13620-t1_13620,-0.009687583660968481,0.09028222973487732,-3.2111818434084225,0.04984299058397481,-0.0
