ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr1g00189-t1_189,49.6,66.3,57.95,91.1,112.2,72.4
PaChr4g15266-t1_15266,59.5,56.8,58.15,172.6,175.5,130
PaChr9g24293-t1_24293,52.8,63.9,58.35,42.8,47.8,60.4
PaChr10g04201-t1_4201,53.6,63.7,58.65,41.2,45.5,52.1
PaChr8g23110-t1_23110,68.8,49.1,58.95,19.8,18.4,10.4
PaCtg2081g36244-t1_36244,56.8,62.1,59.45,66.7,56.2,73.6
PaChr3g11454-t1_11454,56.1,65.8,60.95,60.7,50.6,25.9
PaChr4g15571-t1_15571,59.5,64.8,62.15,67.8,68.6,82
PaChr10g03832-t1_3832,58.1,66.6,62.35,36.7,41.9,30.5
PaCtg0266g26310-t1_26310,52.5,72.2,62.35,48.3,49.1,51
PaChr4g15093-t1_15093,56.5,70.9,63.7,63.9,79.5,51.3
PaChr3g12472-t1_12472,54.2,73.4,63.8,416.9,276.2,484.3
PaChr7g21744-t1_21744,58.5,71.8,65.15,568.1,374.4,298.9
PaChr7g21596-t1_21596,61.6,69.1,65.35,64.6,62.1,79.9
PaChr3g13711-t1_13711,65.9,67.4,66.65,110.5,84.1,72.1
PaCtg5041g41920-t1_41920,67.3,67.3,67.3,1251.5,645.5,610.1
PaCtg1124g31771-t1_31771,65.2,70.1,67.65,78.9,71.5,77.8
PaChr8g21982-t1_21982,77.6,57.9,67.75,113.1,108.1,53.4
PaCtg0662g28948-t1_28948,69.4,66.3,67.85,66.9,56.2,63
PaChr2g10299-t1_10299,63.5,74.3,68.9,216.4,191,210
PaChr2g08930-t1_8930,70.4,67.7,69.05,46.2,49.8,28.7
PaChr5g17161-t1_17161,65.5,73.2,69.35,154.1,133.1,206.1
PaCtg0266g26309-t1_26309,64.5,74.5,69.5,39,47.6,57.3
PaCtg2225g36737-t1_36737,72.5,67.1,69.8,61.4,71.6,57.9
PaChr8g21925-t1_21925,70,69.7,69.85,118.5,100.6,58.7
PaChr8g23534-t1_23534,70.4,69.5,69.95,66.1,75.8,63.9
PaChr10g04153-t1_4153,74.1,66.3,70.2,117.8,111.1,140.4
PaCtg1811g35240-t1_35240,75.7,64.7,70.2,67,72.6,104.2
PaChr3g11764-t1_11764,72.7,68.7,70.7,69.3,81,113.3
PaChr9g25334-t1_25334,73.3,70.9,72.1,77.4,68.9,79.2
PaChr9g24494-t1_24494,70.4,75.7,73.05,71.9,73,46.7
PaChr2g08214-t1_8214,65.5,81.7,73.6,75.6,77.9,62.9
PaChr9g24859-t1_24859,73.4,73.9,73.65,89.3,93.7,135
PaCtg3123g38909-t1_38909,70.9,77.7,74.3,70,68.5,75.2
PaChr11g05673-t1_5673,93.8,54.9,74.35,121.9,70.7,13.1
PaChr7g20925-t1_20925,72.6,77,74.8,55.4,50.4,43.6
PaCtg3468g39635-t1_39635,73.2,76.4,74.8,80.6,86.6,74.3
PaCtg0470g27520-t1_27520,69.4,82.9,76.15,92.2,70.5,104.9
PaChr7g20346-t1_20346,73.3,80.1,76.7,99,103,86.2
PaChr9g24971-t1_24971,77.4,77.2,77.3,79.7,81.9,85.8
PaChr12g07641-t1_7641,67.6,87.4,77.5,56.1,65.8,70.7
PaChr1g03131-t1_3131,69.8,87.2,78.5,74.5,76.6,61.8
PaChr7g20735-t1_20735,83.2,74.7,78.95,114.5,121.7,39.4
PaChr3g12473-t1_12473,72.7,87.6,80.15,139,107.7,145.2
PaChr11g06621-t1_6621,87.7,73.9,80.8,22.1,21.5,19.1
PaChr5g16641-t1_16641,70.4,92.7,81.55,58.8,91.1,65.6
PaChr2g10471-t1_10471,81.7,81.8,81.75,137.5,173,78.1
PaCtg0715g29349-t1_29349,96.2,68.8,82.5,65.5,57.7,45.5
PaChr6g19150-t1_19150,71.3,94.2,82.75,43.7,55.4,49.4
PaChr7g21718-t1_21718,86.3,79.3,82.8,65.9,49.1,95.7
PaChr2g10543-t1_10543,85.4,83.6,84.5,58.3,59.4,39.9
PaChr4g15355-t1_15355,76.7,93.2,84.95,102.6,96,174.4
PaChr7g21483-t1_21483,82.8,87.7,85.25,92.4,83.4,82.8
PaChr4g14889-t1_14889,84.5,86.1,85.3,117.6,137.5,130.1
PaChr12g07523-t1_7523,92,82,87,233.1,169.3,254.7
PaChr3g13475-t1_13475,85,89.1,87.05,90.1,88.2,92.8
PaChr2g10424-t1_10424,92.4,82.8,87.6,97.4,142.3,77.4
PaCtg0151g25787-t1_25787,91,84.2,87.6,101.7,73.8,96
