ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv_T0,mean_T0,cv_T6,mean_T6,log2FC_T6_T0,transformed_pval
PaChr2g09653-t1_9653,0.019461550991706045,0.027871324,0.031560129,0.018758616972752384,0.007198622,0.013281793146742327,19.252716907678902,0.026297668,36.09807646135618,0.013079677221377392,1.434754824426442,1.597050062593162
PaCtg0769g29761-t1_29761,0.021551688156957516,0.026972503895155597,0.033349049778947204,0.017216002,0.006549242,0.015269138,17.66701019662568,0.027291081,35.64616458368915,0.013011460939625888,0.7616206733612675,3.841149058883019
PaChr2g10300-t1_10300,0.022904471377800772,0.03084141,0.033684473,0.35237871842933677,0.2572096905116814,0.1982802587992784,15.65275940331776,0.029143451,23.575986377771667,0.26928955591343223,1.9909529680100182,4.031238913752905
PaChr10g05077-t1_5077,0.023119291,0.027701428,0.034467125570509904,0.009977579,0.003007173,0.01269728,16.395893824124645,0.028429281590847826,47.66994583194035,0.008560677,-0.172713135,0.26103412538222864
PaCtg2128g36447-t1_36447,0.023119291,0.027869641465594952,0.034550981,0.009502929,0.003715587,0.011352899192071275,16.445336196681243,0.028513304583789367,39.71817237095269,0.008190471,-0.306144121,0.46312080284359214
PaChr1g03549-t1_3549,0.024570775173431814,0.02831821,0.035473394,0.10585701799325142,0.042383178,0.057471,15.355634476527747,0.029454126402387593,39.48579635828969,0.068570399,1.355642142898242,2.8528782201162537
PaChr12g07342-t1_7342,0.023699884687910344,0.029832129900930926,0.035808817,0.011460862663814186,0.004305931,0.007904271,16.600203839137208,0.029780277036408825,37.019944262070595,0.007890355,-0.868771474,0.739877679
PaChr1g02832-t1_2832,0.024861072,0.029047135,0.035976528,0.014249435448530356,0.002416828,0.014333917,15.298602255156027,0.029961578139285055,54.173525302222494,0.010333393450726388,-0.094945,0.20236451508086906
PaChr3g13796-t1_13796,0.025383606293251815,0.028654636839729353,0.036032432,0.010689555297828779,0.002652966,0.014801527777695167,14.834432776834264,0.030023558270559636,53.778603756131105,0.00938135,-0.274620947,0.4258297340989606
PaChr10g04597-t1_4597,0.024338537710626107,0.029663917,0.036032432,0.013359465410854976,0.001,0.010417677880715681,15.928290420270287,0.030011629,63.82757628867183,0.008259048,-0.521928588,1.259364398739698
PaChr7g20330-t1_20330,0.023757944053611812,0.031289978,0.036563517679690016,0.014842748806980666,0.006844415,0.012580377163225576,17.20817726407601,0.030537146728732218,29.471492105444376,0.011422513523145272,-0.026403688,0.10093074409375433
PaChr5g18154-t1_18154,0.026254496778773284,0.030504983078760373,0.037374123,0.013656122090080103,0.010445518544209387,0.013690952470460371,14.600534679525284,0.031377867,12.079899275526362,0.012597531,-0.026590729,0.061662563242512895
PaCtg0266g26298-t1_26298,0.025035250099043282,0.031682476,0.037374123,0.017216002,0.00796607,0.019068475010755315,16.07691802977128,0.03136395,32.92392860783158,0.014750182392630465,0.168528896,0.8252761394207142
PaChr11g05994-t1_5994,0.025441665658953283,0.031458191747352204,0.037457978,0.016385364,0.007062252,0.011352899192071275,15.596926258273278,0.031452612,32.84570736562798,0.011600172,-0.138634462,0.41037834257739175
PaChr7g20121-t1_20121,0.026777031070086166,0.031570334,0.038156776,0.015554724837121003,0.008438346,0.013047987818903373,14.501802913633014,0.032168046898803405,23.86995552646743,0.012347019503196444,-0.10797481,0.6129140565455963
PaCtg3729g40111-t1_40111,0.0259642,0.032579613710401356,0.038268583,0.014546092127755483,0.002298759,0.015502943761211918,15.580610443444176,0.032270799,55.75358696,0.010782598229598725,-0.29411939,0.683198203
PaChr5g16395-t1_16395,0.026080319,0.033196396,0.038631957894081026,0.011698188007194243,0.008556415,0.008839492,15.747752575004501,0.032636224,14.63222502778515,0.009698032,-0.661007065,0.8244433106154069
PaChr8g21803-t1_21803,0.029331643160949106,0.030448911980608007,0.038827621,0.013774784761770187,0.003774621,0.014684625113775773,12.892610989809908,0.032869392,45.999993861483574,0.010744676982635815,-0.313509825,0.9455391165751139
PaCtg1078g31485-t1_31485,0.029273583795247637,0.031065694060284976,0.03910714,0.014546092127755483,0.004542069,0.010534580544635186,12.900104857440622,0.033148805987009276,41.63081488387238,0.009874247,-0.496113702,1.4358044734709445
PaChr7g20976-t1_20976,0.028809108869636224,0.031570334,0.039135092,0.014130772776840383,0.004778207,0.010651483208554635,13.158760197988526,0.033171511604525895,39.17028013066322,0.009853488,-0.499244137,1.6908281639940546
PaChr3g13959-t1_13959,0.025848081218863284,0.035046742,0.039442562842964046,0.015851382,0.003066207,0.017490289,16.935464370282126,0.033445795,53.13210398039128,0.012135959248578188,-0.232123166,0.4847940625588532
PaCtg0124g25655-t1_25655,0.027880159018413342,0.033701036,0.039750033685643726,0.01620737,0.004424,0.025498121526325246,14.347465474955968,0.033777076,56.08241356972902,0.015376497176672463,-0.051341751,0.070147378
PaChr3g12707-t1_12707,0.028112396,0.034486031,0.040253168,0.014368098,0.006608277,0.018776218350956664,14.463101514266413,0.034283865,37.95954269,0.013250864,-0.183509754,0.5833172225175546
PaChr4g15204-t1_15204,0.029563880623754812,0.034093533360517736,0.040756302,0.02243716,0.009087725,0.016788873,13.20764775213129,0.034804571960774265,33.97368558120837,0.016104586037649804,-0.022388108,0.11191433144634784
PaCtg0242g26198-t1_26198,0.029331643160949106,0.034317818,0.040756302,0.02243716,0.017234484997859956,0.028245334128432387,13.43788531743606,0.034801921,19.865836574462996,0.022638993,0.2513150327851235,1.329727743
PaCtg1960g35781-t1_35781,0.027009268532891872,0.036897088,0.040924013,0.029319595,0.009973243,0.020412856,16.730531393256605,0.034943456689272366,39.72673828927153,0.019901897671998386,0.14200407565843542,0.43914987600614264
PaChr11g06238-t1_6238,0.029273583795247637,0.035607453010634005,0.041371244,0.016919345561556554,0.008851587,0.026784050829439243,13.949845850045048,0.035417427,41.859812766809696,0.017518328,-0.005449661,0.009915432
PaChr3g12471-t1_12471,0.028634930772531875,0.038747435,0.042629079,0.075479374,0.040021798485765314,0.07635078,16.08605276173707,0.036670481,26.46414543407552,0.063950651,0.7392407046778672,2.4814512629895824
PaChr5g17145-t1_17145,0.029912237,0.038915648,0.043327876,0.065808366,0.049821524,0.070856355,14.933151301305001,0.037385254,14.423813484826958,0.062162082,0.6984587773473535,3.3995995544734057
PaCtg1160g32022-t1_32022,0.030144474280769107,0.039139932,0.043551491,1.9202092681341631,0.1812323007216966,0.7664856567797849,14.833073394962248,0.037611966,75.57388785375953,0.9559757418785481,1.578618861785858,1.9918027932187405
PaChr10g04768-t1_4768,0.032176552,0.037401728,0.043663299,0.030862209485137793,0.040139867,0.043150423778162805,12.440138098333898,0.037747193,13.743724179561598,0.038050833576956156,0.41823861162778625,1.7754229307738756
