ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr2g09653-t1_9653,1.0,1.0000626619810256,1.0,1.00041396659608,1.0003066149996058,1.000214853374249
PaCtg0769g29761-t1_29761,1.0001407465038177,1.0,1.0001250918643378,1.0003449721634001,1.0002744934282184,1.0002942557082104
PaChr2g10300-t1_10300,1.0002318407687887,1.000269724060559,1.0001485465889013,1.0153353394791451,1.0126734199837055,1.0076062765209635
PaChr10g05077-t1_5077,1.000246306381681,1.000050817576627,1.000203274279549,1.0000212290562092,1.0000992848570152,1.0001914997466133
PaCtg2128g36447-t1_36447,1.000246306381681,1.000062544709695,1.0002091379606899,1.0,1.000134326571256,1.000137786403051
PaChr1g03549-t1_3549,1.0003440470093323,1.0000938170645421,1.0002736384532391,1.0043094984104743,1.0020470201402252,1.0019803876235116
PaChr12g07342-t1_7342,1.0002854026327415,1.0001993612621523,1.0002970931778024,1.0000875698568632,1.0001635279997898,1.0
PaChr1g02832-t1_2832,1.0003635951348624,1.0001446346411693,1.000308820540084,1.0002122905620923,1.0000700834284812,1.0002568899039932
PaChr3g13796-t1_13796,1.0003987817608169,1.0001172713306778,1.0003127296608447,1.000053072640523,1.000081763999895,1.000275572806102
PaChr10g04597-t1_4597,1.0003284085089081,1.0001876341290845,1.0003127296608447,1.0001724860817,1.0,1.0001004205988338
PaChr7g20330-t1_20330,1.0002893122578476,1.0003009964154064,1.0003498663080699,1.0002388268823539,1.0002890941424853,1.000186829021086
PaChr5g18154-t1_18154,1.0004574261374077,1.0002462697944234,1.000406548559098,1.0001857542418309,1.000467222856542,1.0002312009135939
PaCtg0266g26298-t1_26298,1.0003753240101807,1.0003283597258978,1.000406548559098,1.0003449721634001,1.0003445768566999,1.0004460542878428
PaChr11g05994-t1_5994,1.000402691385923,1.0003127235484741,1.000412412240239,1.0003078213150338,1.0002998694696144,1.000137786403051
