id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044501123.1,176443031.7,255184312.5,247062926.6,186613083.7,184244962.3,240079568.1
XP_044485989.1,142228710.1,132222564.8,173184270.2,172178867.0,125028776.1,201101479.3
XP_044465926.1,328278587.5,486824887.1,452663086.0,585789512.5,527358718.5,474495237.8
XP_044481049.1,62547885.47,48164854.72,54980526.45,73472214.6,62964789.21000001,55209985.88
XP_044495280.1,48010637.77,31210693.25,49780020.15,26731530.6,31335619.86,43664738.49
XP_044461028.1,109975.06089999899,320089.1629000008,124752.47816500068,362247.09510000236,389075.9511000011,250090.28240000084
XP_044506112.1,48626364.58,47286601.67,36203169.66,14356120.78,30251697.8,23435214.93
XP_044483357.1,385216847.0,672322155.5,712925625.0,208475516.0,581879539.1,532940864.6
XP_044473032.1,15166685.4,25642327.31,10403549.23,3757866.254999999,4944445.008000001,3000221.9279999994
XP_044491374.1,453195821.4,302174937.3,365567758.2,298218996.7,479546954.4,396055381.0
XP_044475373.1,63980240.05,51283098.66,57365613.08,70991115.51,47415288.67,51932881.94
XP_044508658.1,95272337.67000002,125168718.6,159266769.8,148297496.5,137778367.6,248585633.3
XP_044467986.1,62796489.78,72166174.5,110449837.3,64055662.22,99723323.07,64034409.02
XP_044486284.1,225075874.8,213853375.7,281614375.9,195389926.6,170739302.2,258816916.3
XP_044488657.1,41630528.91,34724621.46,66607488.57000001,36774924.91,23240098.06,62149245.17
XP_044461062.1,82112040.91,58705587.78,74900110.8,56580409.03,55479256.68000001,48887951.76
XP_044505838.1,308516186.3,323547520.7,315409290.7,268971704.9,391859555.1,238001085.1
XP_044487248.1,18496089.33,10440980.77,7829279.419,5974518.563999999,7467867.262,10622573.31
XP_044486861.1,1523870.199000001,4191187.067,657776.8401999995,910175.3286000006,22660.8317900002,117918.63120000064
XP_044511533.1,288239061.8,310830883.0,532049470.1,392269063.8,293460267.1,490285737.5
XP_044473355.1,6775573.296,10071460.75,8363103.651000001,13622522.6,9769145.38,15872839.72
