id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044485864.1,341324316.6,315313002.6,487330173.4,582344390.1,237967847.1,401361642.2
XP_044507021.1,47749225.94,44003917.69,48583330.8,49104387.81,37515546.08,42185468.43
XP_044480699.1,469809059.6,274254141.8,359489374.7,374367855.9,418228169.4,429218070.9
XP_044487319.1,204596927,158592390,120742857.4,94857569.08,111883580.6,139802807.8
XP_044485219.1,16948671.53,11790531.86,9404923.403,11779342.26,6243054.17,12225730.32
XP_044470276.1,51486382.65,66689309.5,59678448.56,65674285.47,63030158.32,63031393.11
XP_044464011.1,68918183.56,41932739.93,65391727.02,40567981.35,47604893.3,52855123.02
XP_044464976.1,190781840.6,142134558,147141542.7,93398820.97,141894486,177518415.9
XP_044496389.1,56212749.27,69726251.83,52024885.47,57686105.44,47539663.53,58892098.61
XP_044492990.1,132091012.3,140868111.8,218434442.2,95129171.36,135240036.7,152220601.5
XP_044510297.1,348960620.8,329550112.1,388228482.6,350083505.8,301131179.1,384740105
XP_044478376.1,52993743.69,49743869.72,28525334.87,29348653.79,23227101.1,43931818.01
XP_044506154.1,31858955.95,41230433.37,60830783.75,140647020.7,69886213.7,28209041.26
XP_044468586.1,410713067,268115899.8,299299311,356794187.3,333984846.1,291677487.7
XP_044503514.1,179337040.7,236867488.5,191533234.8,211738599.9,205037004.8,177603968.2
XP_044511383.1,1180104283,1509480284,1100418917,1184779228,1509091032,1178421585
XP_044482732.1,33482393,25635018.38,37715386.1,23966984.2,23792033.28,23601740
XP_044490326.1,181075512.1,123967074.2,138448523.1,174691219.5,141055374.7,109746407.1
XP_044475586.1,1051837887,1038343864,1007453595,932143622,1090275278,822522422.3
XP_044463125.1,1701176.448,1014489.996,1033934.532,407379.583,1137733.776,1840416.017
XP_044473622.1,77359053.84,47922227.11,70165085.21,61061750.81,57254325.16,56252693.39
XP_044507204.1,40740.37033,48990.44157,86640.6875,337872.0071,1983995.244,987441.8777
XP_044501846.1,10214478.13,14294203.12,16846129,8096620.673,17170459.32,12130650.32
XP_044510864.1,985973.2988,769254.86,1193735.167,3423745.035,2038400.509,1279441.984
XP_044462903.1,107660708.5,100769662.7,56339327.9,57461711.37,59638380.13,95530854.99
XP_044481904.1,71144276.44,75165570.54,58821824.17,39403154.82,49731388.93,35109902.84
XP_044505629.1,32672612.5,22439220.49,13992085.64,15713786.36,17169026.88,17296354.31
XP_044462735.1,34955612.9,31468803.6,26442401.69,49625399.25,36808062.86,58828719.15
XP_044479512.1,80395692.62,67435925.22,71659958.52,80548276.78,53703045.39,73534708.19
XP_044467946.1,7157562.851,1343413.53,7349060.607,1819422.381,2497691.069,3755337.149
XP_044481606.1,28717452.2,15403084.01,21299516.93,21912655.6,20279405.41,28514390.3
XP_044511977.1,7454794.508,5888056.985,7428203.441,8817369.558,16872966.13,14409527.54
XP_044470772.1,1268314282,1055858736,971764382.6,932005093.4,1040955114,977034451.1
XP_044474123.1,52613309.72,47501159,41939450.52,37287574.35,38877568.45,43780528.85
XP_044504660.1,61451373.04,26580434.57,20804423.39,29055738.1,57293975.74,55450410.7
XP_044487893.1,88172804.32,107182000.6,150728950,69211065.01,63031282.91,112092510.2
XP_044511240.1,145082780.2,155016615.8,114663518.8,74663363.42,120120923.5,117646617.2
XP_044496382.1,38595985.35,52402017.2,34351050.39,37525729.46,30339138.89,23950419.1
XP_044461979.1,188934854.6,112187796.6,119477512.6,104449124.5,98484844.11,110452327.5
